company_key,company_display_name,year,quarter,reporting_currency,metric,raw_label,raw_value,value,unit,source_file
ApexFreight,FleetLink Logistics Network,2024,4,USD,revenue,Platform Revenue (recognized) 9.0M,9.0M,9.0,M,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2024,4,USD,arr,,,,,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2024,4,USD,gross_margin,Gross Margin 51%,51%,51.0,%,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2024,4,USD,net_revenue_retention,,,,,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2024,4,USD,logo_churn,,,,,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2024,4,USD,headcount,Total Headcount 196,196,196.0,,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2024,4,USD,cash_balance,,,,,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2024,4,USD,net_burn,,,,,FleetLink_Q4_2024.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,revenue,Gross Transaction Revenue 8.9M,8.9M,8.9,M,FleetLink_Q1_2025.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,arr,,,,,FleetLink_Q1_2025.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,gross_margin,Gross Margin 52%,52%,52.0,%,FleetLink_Q1_2025.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,net_revenue_retention,,,,,FleetLink_Q1_2025.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,logo_churn,,,,,FleetLink_Q1_2025.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,headcount,"(from narrative text, not a table row)",199,199.0,,FleetLink_Q1_2025.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,cash_balance,,,,,FleetLink_Q1_2025.pdf
ApexFreight,FleetLink Logistics Network,2025,1,USD,net_burn,,,,,FleetLink_Q1_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,revenue,Total Recognized Revenue 9.3M,9.3M,9.3,M,ApexFreight_Q2_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,arr,,,,,ApexFreight_Q2_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,gross_margin,Gross Margin 54%,54%,54.0,%,ApexFreight_Q2_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,net_revenue_retention,,,,,ApexFreight_Q2_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,logo_churn,,,,,ApexFreight_Q2_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,headcount,Total Headcount 204,204,204.0,,ApexFreight_Q2_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,cash_balance,,,,,ApexFreight_Q2_2025.pdf
ApexFreight,Apex Freight Solutions Inc.,2025,2,USD,net_burn,,,,,ApexFreight_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,revenue,Recognized Revenue $4.1M $3.8M,$4.1M,4.1,M,CarbonTrack_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,arr,Contracted ARR $16.9M $15.2M,$16.9M,16.9,M,CarbonTrack_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,gross_margin,Gross Margin 73% 72%,73%,73.0,%,CarbonTrack_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,net_revenue_retention,Net Revenue Retention (LTM) 121% 118%,121%,121.0,%,CarbonTrack_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,logo_churn,Logo Churn (LTM) 3.8% 4.1%,3.8%,3.8,%,CarbonTrack_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,headcount,Total Headcount 78 72,78,78.0,,CarbonTrack_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,cash_balance,Cash Balance $13.8M $14.8M,$13.8M,13.8,M,CarbonTrack_Q2_2025.pdf
CarbonTrack,CarbonTrack Analytics Corp.,2025,2,USD,net_burn,Monthly Net Burn ($0.55M) ($0.61M),($0.55M),-0.55,M,CarbonTrack_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,revenue,Total Recognized Revenue $17.3M $16.1M,$17.3M,17.3,M,ClearPay_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,arr,,,,,ClearPay_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,gross_margin,Gross Margin 67% 66%,67%,67.0,%,ClearPay_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,net_revenue_retention,,,,,ClearPay_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,logo_churn,,,,,ClearPay_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,headcount,Total Headcount 211 203,211,211.0,,ClearPay_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,cash_balance,Cash & Restricted Cash $38.4M $40.1M,$38.4M,38.4,M,ClearPay_Q2_2025.pdf
ClearPay,ClearPay Technologies Ltd.,2025,2,USD,net_burn,,,,,ClearPay_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,revenue,Quarterly Recognized Revenue $4.5M $4.2M,$4.5M,4.5,M,ConstructIQ_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,arr,Annual Recurring Revenue $18.6M $17.1M,$18.6M,18.6,M,ConstructIQ_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,gross_margin,Gross Margin 71% 70%,71%,71.0,%,ConstructIQ_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,net_revenue_retention,Net Revenue Retention (LTM) 112% 110%,112%,112.0,%,ConstructIQ_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,logo_churn,Logo Churn (LTM) 6.3% 6.8%,6.3%,6.3,%,ConstructIQ_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,headcount,Total Headcount 89 84,89,89.0,,ConstructIQ_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,cash_balance,Cash & Equivalents $11.2M $12.1M,$11.2M,11.2,M,ConstructIQ_Q2_2025.pdf
ConstructIQ,ConstructIQ Solutions Inc.,2025,2,USD,net_burn,Quarterly Net Burn ($0.91M) ($0.97M),($0.91M),-0.91,M,ConstructIQ_Q2_2025.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,revenue,Recognized Revenue $10.1M,$10.1M,10.1,M,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,arr,,,,,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,gross_margin,Gross Margin 58%,58%,58.0,%,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,net_revenue_retention,,,,,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,logo_churn,,,,,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,headcount,Total Headcount 162,162,162.0,,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,cash_balance,,,,,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,2,USD,net_burn,,,,,LendBridge_Q2_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,revenue,Recognized Revenue $10.8M,$10.8M,10.8,M,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,arr,,,,,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,gross_margin,Gross Margin 59%,59%,59.0,%,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,net_revenue_retention,,,,,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,logo_churn,,,,,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,headcount,Total Headcount 169,169,169.0,,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,cash_balance,,,,,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,3,USD,net_burn,,,,,LendBridge_Q3_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,4,USD,revenue,Recognized Revenue $11.4M,$11.4M,11.4,M,LendBridge_Q4_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,4,USD,arr,,,,,LendBridge_Q4_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,4,USD,gross_margin,Gross Margin 60%,60%,60.0,%,LendBridge_Q4_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,4,USD,net_revenue_retention,,,,,LendBridge_Q4_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,4,USD,logo_churn,,,,,LendBridge_Q4_2024.pdf
LendBridge,LendBridge Capital Corp.,2024,4,USD,headcount,Total Headcount 175,175,175.0,,LendBridge_Q4_2024.pdf
